,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2021-05-11,809326,195282,511817,122923,48478,181501,14373,117976,39196,-316535,74445,167128,78780,1637.5,1650.25,1608.25,1614.5,128
2021-05-18,805419,206986,497922,120746,46856,160552,15958,124180,40433,-290936,73890,144594,83747,1574.25,1604.75,1569.0,1588.25,100081
2021-05-25,804827,211608,495861,128249,48442,148454,14797,126955,39557,-284253,79807,133657,87398,1511.75,1538.25,1499.0,1523.75,98163
2021-06-01,807816,207414,495347,124438,49980,144226,14305,132031,37876,-287933,74458,129921,94155,1548.5,1578.5,1537.25,1542.0,97373
2021-06-08,814479,218797,511923,120199,49689,145514,15629,135833,39030,-293126,70510,129885,96803,1580.0,1597.5,1561.5,1571.0,141918
2021-06-15,791507,218792,484799,121894,50195,119644,17402,144223,41072,-266007,71699,102242,103151,1465.75,1488.25,1460.0,1483.5,103081
2021-06-22,757801,228684,456509,111129,49251,95390,15072,143586,42956,-227825,61878,80318,100630,1394.5,1427.25,1393.25,1420.0,67595
2021-06-29,676464,207297,401873,116447,39277,90898,19178,99246,36955,-194576,77170,71720,62291,1359.75,1372.5,1348.0,1370.0,20510
2021-07-06,690273,197868,398084,116726,40173,98546,21245,103617,41654,-200216,76553,77301,61963,1363.75,1420.0,1353.0,1420.0,586
2021-07-13,682359,193892,386524,117055,39948,91477,14916,102829,48750,-192632,77107,76561,54079,1438.0,1449.25,1434.0,1436.0,172
2021-07-20,692028,195800,400553,117119,39905,100773,12152,98550,49492,-204753,77214,88621,49058,1443.5,1452.75,1429.25,1434.25,33664
2021-07-27,667567,191169,385004,121297,39793,100165,12221,88380,50663,-193835,81504,87944,37717,1418.25,1442.75,1412.5,1419.25,22129
2021-08-03,655874,187557,371930,122252,39746,93406,20403,88988,46188,-184373,82506,73003,42800,1392.25,1412.0,1380.5,1409.0,2286
2021-08-10,660007,195430,384872,122078,39122,100014,13106,83121,47633,-189442,82956,86908,35488,1447.5,1460.75,1439.5,1439.5,812
2021-08-17,665803,204997,391619,122613,36584,105558,11852,76981,54283,-186622,86029,93706,22698,1369.0,1386.5,1365.0,1379.5,12021
2021-08-24,684606,225933,398550,128871,36671,98968,20399,76283,53205,-172617,92200,78569,23078,1337.0,1343.5,1294.25,1301.25,25598
2021-08-31,669205,226795,382540,132815,35266,93271,27454,65710,50392,-155745,97549,65817,15318,1298.75,1312.75,1293.0,1310.0,1682
2021-09-07,663939,219453,364580,135439,35147,86702,32402,62146,46209,-145127,100292,54300,15937,1268.75,1292.0,1268.75,1288.0,31
2021-09-14,654989,221572,363850,132590,35914,81710,31266,61406,46095,-142278,96676,50444,15311,1276.5,1283.5,1276.5,1283.5,72169
2021-09-21,660472,231805,364579,129717,36302,77859,32298,61008,45515,-132774,93415,45561,15493,1274.0,1275.5,1257.5,1263.0,78941
2021-09-28,686272,245129,381969,130367,36091,83357,26215,57748,50170,-136840,94276,57142,7578,1277.0,1287.0,1275.0,1286.75,88017
2021-10-05,715835,254582,375006,133285,35453,81450,34305,56097,51841,-120424,97832,47145,4256,1250.5,1256.25,1231.0,1234.25,119391
2021-10-12,759101,288283,394825,131598,34721,74693,50485,59565,41783,-106542,96877,24208,17782,1198.25,1230.75,1194.75,1226.5,183780
2021-10-19,750939,286302,388751,126415,33541,76997,61723,61579,33312,-102449,92874,15274,28267,1228.0,1239.25,1216.25,1220.5,139462
2021-10-26,658960,226088,375460,145054,5859,78820,54060,47229,28759,-149372,139195,24760,18470,1238.0,1246.25,1230.0,1236.25,94349
2021-11-02,620172,202368,367252,149994,4995,91006,47998,44932,29184,-164884,144999,43008,15748,1244.0,1250.25,1234.75,1236.5,2003
2021-11-09,644317,226675,360023,147222,4789,79061,69839,44843,26481,-133348,142433,9222,18362,1199.5,1213.75,1171.25,1178.0,512
2021-11-16,662972,237685,384021,146773,5364,87129,57590,45235,27857,-146336,141409,29539,17378,1251.25,1261.5,1248.5,1255.75,80591
2021-11-23,691303,240271,410559,147217,6102,95484,45216,47537,31591,-170288,141115,50268,15946,1273.0,1279.25,1263.0,1274.25,65548
2021-11-30,671433,240192,400039,146919,4052,82716,51642,46937,22694,-159847,142867,31074,24243,1217.25,1244.75,1214.25,1241.5,132640
2021-12-07,672116,234884,399329,145624,3923,80371,43876,44886,21727,-164445,141701,36495,23159,1250.25,1268.5,1243.0,1262.25,171655
2021-12-14,647243,218052,384382,143094,3929,78854,38403,44715,21945,-166330,139165,40451,22770,1259.5,1267.0,1237.5,1246.0,102492
2021-12-21,654460,196247,406384,143745,5960,101411,27459,50597,21672,-210137,137785,73952,28925,1308.0,1313.5,1286.5,1292.0,81517
2021-12-28,647225,187654,418157,144598,7174,118698,19592,49313,23134,-230503,137424,99106,26179,1359.25,1375.75,1354.0,1360.5,40328
2022-01-04,648148,187600,423919,149123,4697,118780,18496,54382,24110,-236319,144426,100284,30272,1378.75,1380.5,1346.0,1346.0,2450
2022-01-11,678613,183649,441170,158046,5421,126345,19067,55377,24383,-257521,152625,107278,30994,1376.75,1382.0,1365.5,1378.0,57
2022-01-18,692022,187980,442176,167138,5140,127093,28642,52568,23004,-254196,161998,98451,29564,1361.25,1368.75,1349.75,1360.0,124254
2022-01-25,735966,197870,461525,156117,5261,130917,22914,66399,25530,-263655,150856,108003,40869,1407.25,1413.75,1393.25,1405.0,107870
2022-02-01,796285,208281,510460,152379,5777,162619,13175,73353,29424,-302179,146602,149444,43929,1528.5,1539.0,1485.0,1490.0,157814
2022-02-08,832618,216971,532165,145355,6241,175466,11130,79758,34364,-315194,139114,164336,45394,1569.0,1586.5,1559.0,1585.0,176069
2022-02-15,856917,212742,541968,148358,5570,183127,10274,78539,34660,-329226,142788,172853,43879,1551.25,1577.0,1542.25,1569.25,147743
2022-02-22,826824,195965,531508,145062,6274,182575,11191,91437,36357,-335543,138788,171384,55080,1635.0,1641.25,1602.25,1609.0,117091
2022-03-01,758796,166941,497385,149458,8247,175639,9581,89260,36411,-330444,141211,166058,52849,1705.5,1709.0,1648.25,1648.25,1432
2022-03-08,743566,168696,502647,152140,7408,168811,7141,94233,39326,-333951,144732,161670,54907,1704.5,1708.0,1674.25,1674.5,243
2022-03-15,745345,168115,497865,150005,14213,169037,7109,96912,41241,-329750,135792,161928,55671,1658.75,1674.0,1638.0,1674.0,70449
2022-03-22,754382,174339,500725,156139,23399,171042,6794,94149,39761,-326386,132740,164248,54388,1696.5,1720.75,1686.0,1692.75,80750
2022-03-29,755139,187030,495666,153270,23398,160523,9495,93203,37762,-308636,129872,151028,55441,1643.0,1673.0,1622.0,1662.5,107185
2022-04-05,756785,190972,486837,147717,22734,165927,9116,77878,35765,-295865,124983,156811,42113,1631.0,1635.25,1604.25,1605.0,66277
2022-04-12,752157,196448,488084,144520,23578,171513,6864,76252,42606,-291636,120942,164649,33646,1670.25,1682.75,1657.0,1658.75,104828
2022-04-19,762855,195027,490540,144760,24120,176869,5504,73697,44964,-295513,120640,171365,28733,1716.5,1730.0,1705.25,1712.0,71593
2022-04-26,726717,181376,474442,131911,16637,172362,5674,76911,39793,-293066,115274,166688,37118,1705.25,1726.25,1693.25,1704.25,59609
2022-05-03,700856,175440,456946,132169,16016,160502,12491,78853,36462,-281506,116153,148011,42391,1659.0,1688.0,1659.0,1671.5,706
2022-05-10,694454,185294,451801,133839,15030,143822,17271,81438,33381,-266507,118809,126551,48057,1630.0,1641.5,1623.5,1626.0,395
2022-05-17,709144,191123,454198,132106,25968,158732,16703,73179,31561,-263075,106138,142029,41618,1678.0,1684.25,1645.25,1655.0,76915
2022-05-24,729900,193369,462448,135997,25965,172218,13713,63946,34083,-269079,110032,158505,29863,1693.0,1696.75,1673.5,1687.75,78583
2022-05-31,753373,198390,473838,142257,25566,174663,14504,63173,37254,-275448,116691,160159,25919,1683.25,1749.25,1673.75,1737.75,147012
2022-06-07,760444,205268,467379,140282,26561,168458,14804,61437,38447,-262111,113721,153654,22990,1728.25,1732.75,1692.25,1699.25,147738
2022-06-14,754428,216690,484513,139178,27018,169958,11579,59972,35684,-267823,112160,158379,24288,1698.5,1728.25,1697.0,1707.5,100752
2022-06-21,745494,219631,483855,137805,26549,164297,14981,61894,32831,-264224,111256,149316,29063,1681.0,1702.0,1675.75,1695.0,100676
2022-06-28,653337,196492,409169,130903,24931,141235,18620,50145,35567,-212677,105972,122615,14578,1663.75,1668.25,1633.5,1637.0,59698
2022-07-05,638675,186669,384566,128520,24261,130236,28539,60335,36541,-197897,104259,101697,23794,1575.25,1624.25,1572.0,1620.0,2235
2022-07-12,611751,176546,362725,122261,23366,111266,20531,60344,35960,-186179,98895,90735,24384,1592.75,1656.0,1592.5,1650.0,395
2022-07-19,602987,184941,353525,117228,23071,102627,19557,56635,37112,-168584,94157,83070,19523,1477.25,1499.5,1456.0,1498.5,19403
2022-07-26,583850,186912,335787,114997,23695,104602,18640,39106,39827,-148875,91302,85962,-721,1532.75,1535.5,1481.0,1481.0,28936
2022-08-02,572925,179962,336321,115319,24592,111594,11551,34939,42455,-156359,90727,100043,-7516,1569.25,1607.5,1565.0,1589.0,1342
2022-08-09,583208,185424,338807,115472,25060,114484,12130,34049,47502,-153383,90412,102354,-13453,1693.25,1693.25,1632.0,1632.0,427
2022-08-16,595095,200508,339662,112782,25278,113627,12125,31071,49390,-139154,87504,101502,-18319,1454.25,1494.5,1443.75,1490.25,12286
2022-08-23,611218,206676,348953,108821,24903,124157,12812,33201,56710,-142277,83918,111345,-23509,1566.75,1581.0,1528.25,1530.0,13082
2022-08-30,605924,215171,352274,109494,25182,121245,17096,34227,54814,-137103,84312,104149,-20587,1513.0,1538.5,1480.0,1534.5,4540
2022-09-06,606187,215054,348877,108595,25598,116494,16925,35364,53682,-133823,82997,99569,-18318,1490.0,1493.0,1487.5,1493.0,82
2022-09-13,643018,231626,372326,105495,26219,127643,12882,35683,58334,-140700,79276,114761,-22651,1534.25,1556.0,1525.0,1556.0,170
2022-09-20,656310,242997,374273,104608,28817,122949,15465,36840,59551,-131276,75791,107484,-22711,1478.75,1485.5,1450.75,1461.75,107521
2022-09-27,699311,253609,378011,102701,28505,109716,12953,40058,56770,-124402,74196,96763,-16712,1408.0,1437.25,1407.0,1411.25,144461
2022-10-04,677178,261409,376399,100782,25875,94815,17454,43165,53769,-114990,74907,77361,-10604,1383.5,1395.0,1371.75,1373.75,119917
2022-10-11,694960,286752,391767,99869,25468,87130,21524,42157,51994,-105015,74401,65606,-9837,1376.25,1385.25,1365.25,1373.25,126082
2022-10-18,714532,273651,375639,97370,25977,87884,21135,44260,56326,-101988,71393,66749,-12066,1372.0,1390.0,1364.25,1383.0,143267
2022-10-25,651685,242091,352341,99763,24814,94174,18639,32519,50669,-110250,74949,75535,-18150,1382.0,1386.5,1366.0,1372.0,98749
2022-11-01,584073,195431,331208,97743,19852,116757,14460,33398,49173,-135777,77891,102297,-15775,1435.75,1436.5,1403.75,1405.5,5327
2022-11-08,611011,207220,346630,96923,18479,117775,12403,34362,51925,-139410,78444,105372,-17563,1444.0,1446.0,1436.0,1440.75,1250
2022-11-15,616094,214753,347418,102823,19204,112070,16491,31111,49886,-132665,83619,95579,-18775,1457.25,1464.75,1432.5,1440.0,99988
2022-11-22,623227,212726,341376,105338,21127,104981,21145,32388,45985,-128650,84211,83836,-13597,1429.75,1443.5,1428.25,1436.0,69272
2022-11-29,634754,211351,353639,103219,22482,121009,17813,30308,46296,-142288,80737,103196,-15988,1459.5,1468.5,1449.0,1454.75,91119
2022-12-06,622200,205776,338645,100481,27494,128378,27623,32140,43234,-132869,72987,100755,-11094,1455.0,1472.5,1437.0,1437.5,126974
2022-12-13,638744,204117,364469,105926,27585,142109,21657,30221,37614,-160352,78341,120452,-7393,1479.75,1487.75,1460.75,1461.25,145783
2022-12-20,627125,200045,365240,102678,29164,145970,19244,31041,33073,-165195,73514,126726,-2032,1478.5,1486.75,1460.25,1461.75,111696
2022-12-27,595601,184169,351018,97092,30324,148868,19624,30875,26600,-166849,66768,129244,4275,1482.25,1516.75,1478.25,1490.0,61925
2023-01-03,603609,178397,357874,95358,27210,163906,21042,31414,25639,-179477,68148,142864,5775,1487.25,1523.25,1485.0,1519.25,2951
2023-01-10,620659,191168,363944,96815,28205,155310,22663,32527,24846,-172776,68610,132647,7681,1510.0,1518.5,1501.5,1501.5,350
2023-01-17,651328,191386,390841,97483,28818,185361,16981,31470,30785,-199455,68665,168380,685,1539.75,1541.0,1512.5,1518.75,118314
2023-01-24,667416,195115,385300,100681,28441,171256,23618,35073,27489,-190185,72240,147638,7584,1488.5,1506.5,1487.0,1491.5,129464
2023-01-31,689806,206813,418812,103066,28220,193064,17832,29759,26593,-211999,74846,175232,3166,1538.0,1543.75,1524.5,1533.5,126434
2023-02-07,717684,222715,435936,106928,27497,187487,21580,31649,22743,-213221,79431,165907,8906,1515.25,1530.5,1511.0,1521.0,164240
2023-02-14,743026,222108,455219,108781,25443,198281,16333,36954,27016,-233111,83338,181948,9938,1537.5,1544.75,1532.75,1542.0,115529
2023-02-21,731529,204925,436003,104786,23849,201091,14054,38524,32301,-231078,80937,187037,6223,1548.75,1549.0,1535.0,1536.5,115702
2023-02-28,672590,174738,393701,120968,19893,159302,28773,48140,20248,-218963,101075,130529,27892,1490.5,1518.25,1489.5,1518.25,9027
2023-03-07,691538,167477,403305,115272,20805,173671,19047,49081,23506,-235828,94467,154624,25575,1525.25,1538.0,1523.75,1538.0,645
2023-03-14,698188,189271,410998,111277,20031,146732,19386,60082,19434,-221727,91246,127346,40648,1499.75,1502.5,1499.75,1501.0,108201
2023-03-21,696280,183240,414461,108921,19548,134040,23086,76722,15889,-231221,89373,110954,60833,1467.0,1497.0,1465.0,1483.75,101494
2023-03-28,723433,202303,418847,107138,19915,124836,26432,79881,17265,-216544,87223,98404,62616,1467.75,1469.75,1439.75,1441.5,122627
2023-04-04,746111,195635,444758,107747,21891,158658,13359,56091,17045,-249123,85856,145299,39046,1517.5,1523.75,1505.5,1520.0,112285
2023-04-11,716906,192082,427071,109370,22892,143243,18544,71377,16730,-234989,86478,124699,54647,1497.25,1507.5,1486.25,1487.75,156745
2023-04-18,683161,169352,403859,110015,24999,154308,18678,64993,23113,-234507,85016,135630,41880,1519.25,1531.5,1511.0,1515.75,99155
2023-04-25,630935,185466,354213,113241,20985,115735,28603,44348,27384,-168747,92256,87132,16964,1445.25,1471.25,1437.75,1463.5,62592
2023-05-02,601051,185743,332364,116594,18489,106508,51518,47426,27296,-146621,98105,54990,20130,1439.5,1467.0,1437.5,1460.0,634
2023-05-09,618744,204188,339266,114895,18385,106429,56666,43099,28587,-135078,96510,49763,14512,1451.75,1467.75,1448.75,1467.75,327
2023-05-16,642160,218454,322751,113456,20223,100504,78686,46213,29877,-104297,93233,21818,16336,1364.0,1401.75,1358.75,1400.0,149242
2023-05-23,651248,226456,315859,108809,21810,85902,85192,52785,24290,-89403,86999,710,28495,1322.5,1341.25,1315.5,1341.0,111359
2023-05-30,672482,238895,324014,104024,23067,79311,77073,52990,25414,-85119,80957,2238,27576,1296.5,1337.25,1294.25,1337.25,128256
2023-06-06,669123,231977,322417,98595,24244,84268,70316,52450,27247,-90440,74351,13952,25203,1353.25,1364.0,1340.25,1352.0,129813
2023-06-13,660855,233623,339084,96340,27401,101446,51635,46991,33853,-105461,68939,49811,13138,1399.25,1415.5,1371.75,1373.25,161567
2023-06-20,662469,233330,364869,95860,31955,117577,34164,44216,39097,-131539,63905,83413,5119,1477.25,1489.25,1459.75,1472.75,126378
2023-06-27,622093,195720,359314,106467,23102,131435,32372,43499,40713,-163594,83365,99063,2786,1495.0,1524.75,1490.0,1523.0,50206
2023-07-03,610352,192552,341354,101851,24973,126691,36498,43515,42735,-148802,76878,90193,780,1562.0,1616.5,1556.0,1557.25,1870
2023-07-11,622509,201026,352314,98912,24804,124246,40002,46653,40034,-151288,74108,84244,6619,1520.5,1533.5,1515.75,1515.75,209
2023-07-18,659917,205687,362460,101961,26651,131863,36893,53295,40982,-156773,75310,94970,12313,1492.0,1501.0,1474.25,1476.5,26908
2023-07-25,676643,212314,403180,101957,27967,142159,30375,55987,32789,-190866,73990,111784,23198,1515.5,1527.25,1502.75,1521.75,25259
2023-08-01,639859,199532,379297,106037,21654,123434,33118,52449,29005,-179765,84383,90316,23444,1446.75,1465.0,1433.75,1446.5,2092
2023-08-08,628182,208369,365783,112177,18415,102379,39402,47736,27250,-157414,93762,62977,20486,1430.0,1431.25,1395.0,1400.25,382
2023-08-15,638785,225744,360199,110446,19640,92768,43578,45331,29188,-134455,90806,49190,16143,1323.25,1348.75,1319.5,1344.25,15884
2023-08-22,665704,235026,369734,111748,25188,97524,43241,45541,33691,-134708,86560,54283,11850,1351.5,1381.0,1341.75,1369.5,8855
2023-08-29,698855,239937,398482,115828,30973,118276,33384,42998,35728,-158545,84855,84892,7270,1382.0,1394.0,1380.5,1382.75,9140
2023-09-05,716200,241469,395217,117361,32456,114348,37871,47120,36268,-153748,84905,76477,10852,1349.0,1359.5,1348.0,1359.5,85
2023-09-12,740047,238861,392247,116558,31612,110244,42769,52517,34775,-153386,84946,67475,17742,1331.75,1348.75,1331.75,1348.75,274
2023-09-19,773220,258902,390203,116468,28932,88139,49725,56459,32183,-131301,87536,38414,24276,1315.5,1319.75,1308.0,1315.0,138842
2023-09-26,777270,264209,384688,114350,25279,80290,54360,52322,31764,-120479,89071,25930,20558,1302.75,1307.75,1289.0,1299.25,135125
2023-10-03,803439,276258,378652,119901,23387,68267,65880,55533,35417,-102394,96514,2387,20116,1272.75,1278.75,1256.75,1276.5,191994
2023-10-10,821757,288524,392549,115639,21043,67247,70432,62705,36142,-104025,94596,-3185,26563,1271.5,1273.25,1254.25,1263.0,161646
2023-10-17,842086,315348,420461,114227,21163,69982,73394,66430,35913,-105113,93064,-3412,30517,1296.75,1303.5,1285.5,1286.0,135410
2023-10-24,814726,310384,427133,112021,19755,74133,67316,61005,31368,-116749,92266,6817,29637,1295.25,1297.75,1280.5,1287.0,125254
2023-10-31,706923,276019,370212,113005,20625,79383,56260,24245,31108,-94193,92380,23123,-6863,1287.0,1300.0,1276.0,1283.0,7814
2023-11-07,722948,251692,396729,117316,21602,110041,38268,29943,38159,-145037,95714,71773,-8216,1348.75,1366.0,1336.5,1339.5,2165
2023-11-14,738268,248954,413665,117915,22699,129591,34353,30867,39428,-164711,95216,95238,-8561,1368.75,1372.0,1358.5,1372.0,121756
2023-11-21,745196,255405,408819,122647,23010,121835,36013,28733,40749,-153414,99637,85822,-12016,1377.25,1389.25,1364.0,1365.5,131504
2023-11-28,736483,264157,395019,120688,20220,112278,41127,26110,46564,-130862,100468,71151,-20454,1346.5,1350.0,1329.5,1330.25,122211
2023-12-05,715603,262948,372629,123461,16741,89877,52145,26884,44318,-109681,106720,37732,-17434,1305.5,1315.25,1294.0,1307.25,127531
2023-12-12,718648,250111,356005,120870,15192,81782,50035,26078,40286,-105894,105678,31747,-14208,1323.75,1344.0,1320.5,1337.25,151132
2023-12-19,693382,249262,339275,116106,15014,71506,61020,29638,38126,-90013,101092,10486,-8488,1312.5,1328.75,1309.5,1326.5,136922
2023-12-26,637033,230991,316485,119630,13420,68851,57354,28643,52066,-85494,106210,11497,-23423,1313.25,1314.5,1296.0,1299.75,34317
2024-01-02,639490,236596,309357,121166,13067,68765,77635,31045,44103,-72761,108099,-8870,-13058,1274.0,1289.5,1266.0,1289.5,2675
2024-01-09,658250,246238,305027,122628,10219,62565,95842,36672,41444,-58789,112409,-33277,-4772,1241.5,1243.0,1228.75,1238.5,158
2024-01-16,680005,265419,272476,128101,8605,54101,132928,31349,46190,-7057,119496,-78827,-14841,1227.25,1237.75,1220.75,1227.0,140122
2024-01-23,726789,284252,281404,127269,6627,48552,144944,33210,42812,2848,120642,-96392,-9602,1239.5,1240.5,1221.5,1224.25,107718
2024-01-30,755093,307072,278047,131794,4997,42993,144591,34887,73866,29025,126797,-101598,-38979,1218.75,1221.25,1187.75,1193.75,133600
2024-02-06,777099,310226,262645,128783,4444,44605,165768,35654,75308,47581,124339,-121163,-39654,1199.5,1205.5,1193.75,1196.0,104104
2024-02-13,769700,314749,267879,128578,3810,49000,173369,37975,75357,46870,124768,-124369,-37382,1186.25,1197.5,1183.0,1191.75,132884
2024-02-20,804919,335054,288638,129002,3670,53586,180260,47390,81004,46416,125332,-126674,-33614,1179.0,1188.5,1174.0,1177.75,145020
2024-02-27,714761,295206,215120,127145,4281,48431,199461,43930,84132,80086,122864,-151030,-40202,1131.25,1152.25,1128.75,1136.0,79533
2024-03-05,720033,295065,216086,132217,3918,53084,213374,44819,81770,78979,128299,-160290,-36951,1140.75,1147.0,1138.75,1147.0,1080
2024-03-12,743055,306117,242320,131928,4394,58631,205249,40716,74511,63797,127534,-146618,-33795,1182.0,1182.0,1167.0,1167.0,73
2024-03-19,773473,329194,276807,131979,3550,58310,196942,39273,68294,52387,128429,-138632,-29021,1185.5,1192.25,1181.0,1188.0,103620
2024-03-26,803536,333169,297183,132999,2564,58432,181602,40056,70600,35986,130435,-123170,-30544,1199.0,1208.0,1197.75,1207.5,119009
2024-04-02,823372,346223,307415,132861,2529,56757,183775,38632,69654,38808,130332,-127018,-31022,1174.0,1199.75,1171.0,1185.5,173481
2024-04-09,832041,335552,305187,136632,1345,53027,179384,37938,70058,30365,135287,-126357,-32120,1174.5,1184.25,1172.0,1181.5,167029
2024-04-16,867734,352472,305673,134270,1351,45859,201551,48559,64760,46799,132919,-155692,-16201,1145.0,1163.0,1143.25,1157.25,148376
2024-04-23,814420,331932,298760,130873,4723,50620,189298,45810,61702,33172,126150,-138678,-15892,1167.5,1169.0,1158.0,1161.0,112266
2024-04-30,722851,302198,258525,130662,5659,52791,194028,39309,60415,43673,125003,-141237,-21106,1145.5,1163.0,1141.0,1158.75,5743
2024-05-07,743039,278671,324726,132765,12387,82311,112481,41013,70891,-46055,120378,-30170,-29878,1232.25,1240.5,1230.0,1234.5,51
2024-05-14,752796,293668,338419,137708,11353,71749,104082,40390,74032,-44751,126355,-32333,-33642,1199.0,1199.0,1199.0,1199.0,115517
2024-05-21,784815,299105,367069,140773,12680,76100,94119,43957,70920,-67964,128093,-18019,-26963,1236.25,1249.25,1230.0,1246.5,126275
2024-05-28,803411,301036,385917,141240,11631,84788,86335,44900,69261,-84881,129609,-1547,-24361,1229.5,1254.75,1226.25,1250.25,140138
2024-06-04,835855,321463,378612,138737,10296,76076,116877,52000,63188,-57149,128441,-40801,-11188,1179.0,1189.5,1176.0,1184.0,145530
2024-06-11,809104,316749,369740,133481,8105,73899,135278,58727,53693,-52991,125376,-61379,5034,1178.0,1193.0,1177.0,1188.25,160774
2024-06-18,812433,305575,345340,134383,6844,69478,168745,72392,47427,-39765,127539,-99267,24965,1174.0,1175.75,1156.5,1158.25,148950
2024-06-25,758183,281805,295277,139191,7475,70026,196378,62243,47070,-13472,131716,-126352,15173,1163.25,1180.0,1157.75,1175.0,83116
2024-07-02,786077,305544,307301,138226,6658,62710,196476,60337,48785,-1757,131568,-133766,11552,1165.0,1175.0,1159.25,1159.25,1375
2024-07-09,814807,331635,302177,137124,5900,60681,223484,63676,51023,29458,131224,-162803,12653,1161.5,1185.0,1160.0,1177.0,839
2024-07-16,836293,340045,292533,130382,4484,60560,243705,74692,53050,47512,125898,-183145,21642,1090.5,1096.5,1076.75,1076.75,37408
2024-07-23,834895,328598,303609,130374,6127,59309,232254,82106,47584,24989,124247,-172945,34522,1117.5,1129.0,1111.0,1116.5,51623
2024-07-30,779994,325843,265486,123965,5365,50445,220124,61133,59354,60357,118600,-169679,1779,1027.25,1059.0,1023.75,1054.75,16709
2024-08-06,786832,333294,278657,124491,5917,52121,209026,59138,61361,54637,118574,-156905,-2223,1028.5,1038.25,1028.5,1033.0,694
2024-08-13,809131,341770,274337,119992,6246,57074,211875,61248,72170,67433,113746,-154801,-10922,989.0,1003.0,989.0,1003.0,19
2024-08-20,816088,358564,276781,121899,6228,50775,218701,54962,65929,81783,115671,-167926,-10967,957.25,966.25,950.75,955.25,13630
2024-08-27,815642,364231,284483,124588,5389,51944,219459,56828,73579,79748,119199,-167515,-16751,967.5,971.75,957.0,959.0,13636
2024-09-03,828616,377356,314149,128247,6878,51555,198125,59552,75007,63207,121369,-146570,-15455,997.0,1007.5,978.75,978.75,518
2024-09-10,824157,363485,317823,129701,7200,49042,169762,56722,80233,45662,122501,-120720,-23511,977.5,981.75,977.5,980.25,59
2024-09-17,846003,364789,328164,125558,6545,53287,166039,58086,79972,36625,119013,-112752,-21886,1006.0,1011.0,1002.0,1003.75,80303
2024-09-24,857319,355577,362144,130308,8342,64551,140568,54395,71809,-6567,121966,-76017,-17414,1042.25,1058.25,1032.75,1037.0,206134
2024-10-01,865375,354554,375485,132562,10783,85109,116890,44420,86336,-20931,121779,-31781,-41916,1057.25,1065.5,1045.0,1055.75,165015
2024-10-08,882069,364361,401014,130942,10374,93918,112820,50443,82727,-36653,120568,-18902,-32284,1016.25,1039.5,1011.5,1032.5,215735
2024-10-15,948228,401986,432755,134154,9235,96792,137280,57963,82854,-30769,124919,-40488,-24891,991.0,996.0,981.0,995.0,239187
2024-10-22,942741,385380,409762,130173,7739,95543,153610,62294,82522,-24382,122434,-58067,-20228,991.75,997.0,976.75,980.5,185249
2024-10-29,834791,332670,346333,127909,7254,96177,158047,49714,79904,-13663,120655,-61870,-30190,965.25,980.5,965.0,974.75,82001
2024-11-05,845153,326667,342952,131805,7508,99954,156326,51078,83689,-16285,124297,-56372,-32611,993.75,996.75,991.0,992.25,629
2024-11-12,862260,332860,364683,136421,8241,109617,149318,51725,89137,-31823,128180,-39701,-37412,1003.5,1011.75,998.75,1011.75,209
2024-11-19,902539,358409,375158,133843,8017,112061,160583,56073,93882,-16749,125826,-48522,-37809,998.5,1012.75,995.25,1009.75,114559
2024-11-26,909831,359462,362163,132070,6144,106652,165118,53273,100744,-2701,125926,-58466,-47471,983.5,991.25,976.75,980.0,131739
2024-12-03,923030,353510,361766,129280,5371,109442,154902,49455,102479,-8256,123909,-45460,-53024,991.75,999.0,983.5,985.0,135065
2024-12-10,914773,352337,367559,123987,6212,112085,142679,48861,104483,-15222,117775,-30594,-55622,994.75,1000.0,988.5,990.0,162231
2024-12-17,916280,363979,353184,121039,6802,104530,161606,51504,103757,10795,114237,-57076,-52253,976.75,986.25,970.5,982.5,170736
2024-12-24,858415,337687,328013,119709,7098,107921,161721,51539,102657,9674,112611,-53800,-51118,975.25,975.75,966.0,968.25,28802
2024-12-31,810055,316989,334783,122433,8498,114130,139314,46973,91707,-17794,113935,-25184,-44734,998.25,999.5,980.0,980.5,5238
2025-01-07,806968,303693,342975,124259,9757,109641,124037,51299,86904,-39282,114502,-14396,-35605,992.25,993.25,982.5,991.0,265
2025-01-14,825366,287900,397137,142030,14382,138614,80287,47433,91242,-109237,127648,58327,-43809,1043.0,1049.0,1035.0,1043.0,220603
2025-01-21,853697,299843,426309,156268,14927,144412,78491,42843,90215,-126466,141341,65921,-47372,1067.25,1068.0,1039.0,1045.0,215089
2025-01-28,863769,303795,432555,147388,15020,140673,67638,42040,83724,-128760,132368,73035,-41684,1045.0,1050.75,1041.0,1042.75,129003
2025-02-04,890575,312952,450141,148419,16156,135908,63152,46211,81801,-137189,132263,72756,-35590,1075.0,1077.25,1048.25,1057.5,182908
2025-02-11,904578,332956,441527,147646,15692,120695,78474,49667,85107,-108571,131954,42221,-35440,1043.5,1057.0,1041.5,1049.0,149758
